                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2235,                0.84105,                 1.0723,                0.65759,                0.58815,                0.54697,                0.22789,                 2.0377,                  1.296,                 1.5659,              0.0011461,              0.0011461,              0.0011461
                     45,                  1.224,                0.84989,                 1.0727,                0.60246,                0.49936,                0.52801,                0.21715,                 2.0413,                 1.3377,                 1.5987,              0.0011436,              0.0011436,              0.0011436
                     46,                 1.2171,                 0.8489,                 1.0593,                 0.8039,                0.66099,                0.71408,                0.30148,                 1.9286,                 1.1484,                 1.4896,              0.0011411,              0.0011411,              0.0011411
                     47,                 1.1792,                0.82047,                 1.0554,                0.74291,                0.46748,                0.57687,                0.26403,                 1.9023,                 1.3574,                 1.4465,              0.0011386,              0.0011386,              0.0011386
                     48,                 1.1854,                0.81967,                 1.0604,                0.61385,                0.54021,                0.54597,                0.23494,                 1.9085,                 1.3505,                 1.4836,              0.0011362,              0.0011362,              0.0011362
                     49,                 1.1849,                0.84052,                 1.0567,                0.52966,                0.66192,                0.62483,                0.27671,                 1.8959,                 1.2472,                 1.4959,              0.0011337,              0.0011337,              0.0011337
                     50,                 1.1725,                0.81269,                 1.0509,                0.65011,                0.63472,                0.69021,                0.29526,                 1.9485,                 1.2285,                 1.5395,              0.0011312,              0.0011312,              0.0011312
                     51,                 1.1784,                0.80226,                  1.063,                0.55984,                0.49346,                0.50123,                0.19349,                 2.1726,                 1.4879,                 1.7097,              0.0011287,              0.0011287,              0.0011287
                     52,                 1.1578,                0.79647,                 1.0479,                0.70512,                0.46409,                0.52582,                 0.2303,                 1.9642,                  1.398,                 1.5504,              0.0011263,              0.0011263,              0.0011263
                     53,                 1.1439,                0.76626,                 1.0322,                 0.7259,                0.59167,                0.61183,                0.26996,                 1.9188,                 1.3848,                 1.5001,              0.0011238,              0.0011238,              0.0011238
                     54,                 1.1702,                0.79101,                 1.0554,                0.67212,                0.60683,                 0.6517,                0.29028,                 1.8994,                 1.2714,                   1.51,              0.0011213,              0.0011213,              0.0011213
